"Mentions","BibtexKey","Contribution","Characteristics","Rationale","Notes"
"S20 [18] The Squale Model - A Practice-Based Industrial Quality Model 2009Squale [22]SQUALE [11, 68, 93, 116]S18 [42] The SQALE Analysis Model: An analysis model compliant with the representation condition for assessing the Quality of Software Source Code 2010SQALE [59, 96–102]"," MordalManet2009,Laval2008,Hegeman2011,Letouzey2012,Letouzey2016,Coq2009,Letouzey2010,Letouzey2012a","model","internal characteristics","literature-based,logical implication"," A new quality model which is inspired by the ISO 9126 standard and introduces practices as a mediator between metrics and quality attributes. The quality model is based on the ISO 9126 standard and therefore also the relationships between quality attributes are, additional relationships seem to be defined based on logical implication, but not validated directly. A validation has however been done through using the model in an industrial setting."
"WSQM [18], [19]"," OASIS2012,OASIS2005","model","internal characteristics,external characteristics","logical implication"," An OASIS standard to define the quality of web services. Although the quality attributes are the ones externally observable, their values depend on the internal implementations of web services. The relationships between quality attributes and measures are proposes but not discussed or evaluated further."
"AOSQUAMO [23]AOSQ [35]"," Kumar2009,Kumar2012","model","internal characteristics","literature-based,logical implication"," A quality model for aspect-oriented software which builds on the ISO 9126 standard and extends it with quality attributes important to aspect-oriented software as perceived by the authors. The model is extended once more in the latest paper."
"S10 [35] A Comprehensive Code-based Quality Model for Embedded Systems 2012"," Mayr2012","model","internal characteristics","literature-based,empirical-experts"," A quality model for embedded system based on the Quamoco approach (Wagner2012). The creation of the quality model has been done with a structured, comprehensive process building mainly on the definition of requirements which have then been assigned to quality attributes of the ISO 25010 standard and the relationships have been reviewed by experts. Furthermore the approach has been validated by comparing quality ratings achieved with the quality model to quality ratings from an expert."
"S7 [32] Indirect Method to Measure Software Quality using CK-OO suite 2013"," Srivastava2013","model","internal characteristics","literature-based,logical implication"," A quality model for object-oriented software which includes several code metrics and has a focus on coupling. Relationships between quality attributes are derived from existing quality models (McCall1977, ISO 9126, Dromey1995)."
"CBQM [36]"," Dixit2013","model","internal characteristics,external characteristics","literature-based,logical implication"," A proposal of a quality for component-based systems which is inspired by previous quality models (McCall1977, Boehm1976, ISO 9126) and proposes an adapted quality model for which however merely high-level quality attributes are described and no further subattributes or relationships are discussed."
"ISO25010 [29, 38, 65, 66, 75, 107, 119, 131, 145]"," ISO/IEC2014","model","internal characteristics,external characteristics","logical implication,empirical-experts"," The ISO 25010 standard itself."
"S9 [34] Objective Measurement of Safety in the Context of IEC 61508-3 2013S4 [29] Objective safety compliance checks for source code 2014"," Mayr2013,Mayr2014","model","internal characteristics","literature-based,empirical-experts"," A quality model for safety-critical systems based on the Quamoco approach (Wagner2012). Also here the quality model has been created through a structured, comprehensive process focusing on gathering requirements. The quality model and especially the relationships between quality attributes and metrics have been reviewed and validated by experts."
"S1 [27] Operationalised product quality models and assessment: The Quamoco approach 2015Quamoco [37]S12 [37] The Quamoco Product Quality Modelling and Assessment Approach 2012Quamoco [44, 149–151]"," Wagner2015,Wagner2012a,Gleirscher2013,Wagner2012","model,meta-model","internal characteristics","literature-based,empirical-experts"," The Quamoco model is a meta-model to define quality models with the modeling entities of factors (quality aspects and product factors), impacts, entities, and evaluations. In addition the meta-model has been used to define a quality model for object-oriented software. The relationships between quality attributes have been defined and validated iteratively through workshops together with partners from the industry leading to an empirically validated model."
"S31 [52] Software quality measurement: Concepts and fuzzy neural relational model 1998"," Pedrycz1998","validation-method","internal characteristics","literature-based,algorithmic"," Used the McCall model to propose a fuzzy learning method for quantifying the relationships between factors, criteria, and metrics by relying on the relations originally stated by McCall."
"S13 [2] A probabilistic software quality model 2011"," Bakota2011","validation-method","internal characteristics,external characteristics","literature-based,empirical-experts,algorithmic"," A method for aggregating measures in a quality attribute hierarchy that tries to lead to more useful quantifications of quality attributes. It is based on the ISO 9126 standard and adopts is quality attributes, focusing on maintainability. Weights for subcharacteristics are determined by asking experts to assign weights. Finally the method is used to calculate quality scores for two Java systems and the algorithmically calculated quality score is then also comared to a quality rating of experts to evaluate how well it works."
"S14 [38] Integrated Software Quality Evaluation: A Fuzzy Multi-Criteria Approach 2011"," Challa2011","validation-method","internal characteristics,external characteristics","logical implication,algorithmic"," A method to quantify overall software quality using a fuzzy multi-criteria approach. The used quality model is based on the ISO 9126 standard and additional quality attributes and metrics have been added to the model. The fuzzy method is used to assign weights to the measures and subcharacteristics impacting higher-level characteristics. In addition, the quality of systems is evaluated by experts and these measures are compared to the measures obtained with the proposed method."
"S11 [36] Standardized code quality benchmarking for improving software maintainability 2012S6 [31] Test code quality and its relation to issue handling performance 2014"," Baggen2011, Athanasiou2014","validation-method","internal characteristics","literature-based,algorithmic"," A practical method for evaluating the quality of a software based on the ISO 9126 standard. It relies on the quality attributes from the standard and performs an algorithmic metrics calibration to define thresholds for when a certain measured value can be attributed to a certain level of quality. The calibration is based on a repository of sofware products for which metrics are measured. The latest paper extends the method on also testing code."
"ISO25010 [29, 38, 65, 66, 75, 107, 119, 131, 145]"," Liu2018","validation-method","internal characteristics,external characteristics","algorithmic"," An overview of possibilites how to weigth different quality subattributes when aggregating quality measures."
